elife06,inspecQt,elife05,elife04,inspecKb2,elife03,inspecKb1,elife02,elife01,inspecArea,inspecKb3,avgnight,avgdaytime,inspecPoint,inspecYy
48,2,51,53,종합병원,58,가,58,59,부산진구개금4동백병원주변,일반,49,57,하성약국 옆,2020
62,2,67,68,일반주거1,67,나,68,67,기장군기장읍동부리,도로,64,67,기장FILA 앞,2020
52,1,55,56,녹지,64,가,63,63,부산진구개금2동백병원주변,도로,53,61,개금2동새마을금고앞,2020
54,1,58,61,녹지,64,가,66,65,부산진구개금2동백병원주변,도로,56,64,주원초등학교옆,2020
62,2,66,69,일반주거1,69,나,70,69,기장군기장읍동부리,도로,64,69,초이스안경 앞,2020
56,2,53,57,일반주거1,57,나,57,53,기장군기장읍동부리,일반,54,56,678치킨 앞,2020
48,2,50,52,일반주거1,56,나,55,54,기장군기장읍동부리,일반,49,54,대진아파트 앞,2020
52,2,55,59,일반주거1,59,나,62,56,기장군기장읍동부리,일반,53,59,유한빌라 앞,2020
54,2,60,63,일반주거2,65,나,64,64,동래구사직2동,도로,57,64,시티부동산 건너편,2020
57,2,63,66,일반주거2,67,나,66,66,동래구사직2동,도로,60,66,종로엠스쿨 앞,2020
52,2,55,58,일반주거2,57,나,54,59,동래구사직2동,일반,53,57,남다른 대구막창 앞,2020
57,2,60,63,일반주거2,62,나,63,58,동래구사직2동,일반,58,61,대구반야월막창 사직점 앞,2020
43,2,47,51,일반주거2,56,나,54,53,동래구사직2동,일반,45,53,쌍용예가 107동 앞,2020
59,2,65,68,준공업,68,다,68,68,영도구남항동,도로,62,68,구 남항새마을금고 앞,2020
60,2,66,68,준공업,69,다,69,70,영도구남항동,도로,63,69,카이스트안경 앞,2020
44,2,45,54,준공업,64,다,62,64,영도구남항동,일반,44,61,신한아파트 앞,2020
42,2,43,56,준공업,67,다,61,67,영도구남항동,일반,42,62,영도종합상가 앞,2020
47,2,43,50,준공업,59,다,59,66,영도구남항동,일반,45,58,유성티엠주식회사 앞,2020
54,3,61,64,녹지,66,가,66,66,중구대청공원내,도로,57,65,시민아파트 앞,2020
54,3,53,54,녹지,57,가,56,56,중구대청공원내,도로,53,55,시민헌장 앞,2020
